słówko;tłumaczenie;lekcja
optimista;optymista;Lección 1: Somos como somos
organizado/a;zorganizowany/a;Lección 1: Somos como somos
oscuro/a;ciemny/a;Lección 1: Somos como somos
pálido/a;blady/a;Lección 1: Somos como somos
peligroso/a;niebezpieczny/a;Lección 1: Somos como somos
pequeño/a;mały/a;Lección 1: Somos como somos
la personalidad;osobowość;Lección 1: Somos como somos
preocupado/a;zmartwiony/a;Lección 1: Somos como somos
rápido/a;szybki/a;Lección 1: Somos como somos
recto/a;prosty/a;Lección 1: Somos como somos
rizado/a;kręcony/a;Lección 1: Somos como somos
rosado/a;różowy/a;Lección 1: Somos como somos
ruidoso/a;hałaśliwy/a;Lección 1: Somos como somos
sensible;wrażliwy/a;Lección 1: Somos como somos
sincero/a;szczery/a;Lección 1: Somos como somos
sociable;towarzyski/a;Lección 1: Somos como somos
tacaño/a;skąpy/a;Lección 1: Somos como somos
tímido/a;nieśmiały/a;Lección 1: Somos como somos
tolerante;tolerancyjny/a;Lección 1: Somos como somos
torcido/a;krzywy/a;Lección 1: Somos como somos
trabajador/a;pracowity/a;Lección 1: Somos como somos
tranquilo/a;spokojny/a;Lección 1: Somos como somos
triste;smutny/a;Lección 1: Somos como somos
vago/a;leniwy/a;Lección 1: Somos como somos
valiente;dzielny/a;Lección 1: Somos como somos
el horóscopo;horoskop;Lección 1: Somos como somos
el signo del Zodiaco;znak zodiaku;Lección 1: Somos como somos
Aries;Baran;Lección 1: Somos como somos
Tauro;Byk;Lección 1: Somos como somos
Géminis;Bliźnięta;Lección 1: Somos como somos
Cáncer;Rak;Lección 1: Somos como somos
Leo;Lew;Lección 1: Somos como somos
Virgo;Panna;Lección 1: Somos como somos
Libra;Waga;Lección 1: Somos como somos
Escorpio;Skorpion;Lección 1: Somos como somos
Sagitario;Strzelec;Lección 1: Somos como somos
Capricornio;Koziorożec;Lección 1: Somos como somos
Acuario;Wodnik;Lección 1: Somos como somos
Piscis;Ryby;Lección 1: Somos como somos
la flauta;flet;Lección 1: Somos como somos
la guitarra;gitara;Lección 1: Somos como somos
el piano;pianino;Lección 1: Somos como somos
el saxofón;saksofon;Lección 1: Somos como somos
el violín;skrzypce;Lección 1: Somos como somos
azul claro/a;jasnoniebieski/a;Lección 2: ¡Te queda genial!
azul marino/a;granatowy/a;Lección 2: ¡Te queda genial!
azul oscuro/a;ciemnoniebieski/a;Lección 2: ¡Te queda genial!
beis;beżowy/a;Lección 2: ¡Te queda genial!
fucsia;kolor fuksji, intensywny róż;Lección 2: ¡Te queda genial!
gris;szary/a;Lección 2: ¡Te queda genial!
morado/a;kolor śliwkowy/a;Lección 2: ¡Te queda genial!
naranja;pomarańczowy/a;Lección 2: ¡Te queda genial!
rosa;różowy/a;Lección 2: ¡Te queda genial!
barato/a;tani/a;Lección 2: ¡Te queda genial!
caro/a;drogi/a;Lección 2: ¡Te queda genial!
deportivo/a;sportowy/a;Lección 2: ¡Te queda genial!
el abrigo;płaszcz;Lección 2: ¡Te queda genial!
la americana;żakiet, marynarka;Lección 2: ¡Te queda genial!
el bañador;kąpielówki, kostium kąpielowy;Lección 2: ¡Te queda genial!
el bolso;torebka;Lección 2: ¡Te queda genial!
las botas;botki;Lección 2: ¡Te queda genial!
las bragas;damskie majtki;Lección 2: ¡Te queda genial!
la bufanda;szalik;Lección 2: ¡Te queda genial!
los calcetines;skarpetki;Lección 2: ¡Te queda genial!
los calzoncillos;slipy;Lección 2: ¡Te queda genial!
la camiseta;T-shirt, podkoszulek;Lección 2: ¡Te queda genial!
la cazadora;kurtka skórzana;Lección 2: ¡Te queda genial!
la chaqueta;lekka kurtka damska lub męska, marynarka, żakiet;Lección 2: ¡Te queda genial!
el cinturón;pasek;Lección 2: ¡Te queda genial!
la corbata;krawat;Lección 2: ¡Te queda genial!
la falda;spódnica;Lección 2: ¡Te queda genial!
las gafas de sol;okulary przeciwsłoneczne;Lección 2: ¡Te queda genial!
la gorra;czapka z daszkiem;Lección 2: ¡Te queda genial!
el gorro;czapka zimowa;Lección 2: ¡Te queda genial!
los guantes;rękawiczki;Lección 2: ¡Te queda genial!
el jersey;sweter;Lección 2: ¡Te queda genial!
las medias;rajstopy;Lección 2: ¡Te queda genial!
la pajarita;muszka;Lección 2: ¡Te queda genial!
el pañuelo;cienka apaszka, chustka, chusta;Lección 2: ¡Te queda genial!
las sandalias;sandały;Lección 2: ¡Te queda genial!
la sudadera;bluza;Lección 2: ¡Te queda genial!
el sujetador;biustonosz;Lección 2: ¡Te queda genial!
la ropa;ubranie, odzież;Lección 2: ¡Te queda genial!
el traje;garnitur, strój, ubranie;Lección 2: ¡Te queda genial!
los vaqueros;dżinsy;Lección 2: ¡Te queda genial!
el vestido;sukienka;Lección 2: ¡Te queda genial!
los zapatos de tacón;buty na obcasie;Lección 2: ¡Te queda genial!
la moda de caballero;moda męska;Lección 2: ¡Te queda genial!
la moda de señora;moda damska;Lección 2: ¡Te queda genial!
la caja;kasa;Lección 2: ¡Te queda genial!
con tarjeta de crédito;kartą kredytową;Lección 2: ¡Te queda genial!
en efectivo;w gotówce, gotówką;Lección 2: ¡Te queda genial!
el/la modelo;model, modelka;Lección 2: ¡Te queda genial!
el precio;cena;Lección 2: ¡Te queda genial!
el probador;przymierzalnia;Lección 2: ¡Te queda genial!
la talla;rozmiar ubrania;Lección 2: ¡Te queda genial!
la joyería;sklep jubilerski;Lección 2: ¡Te queda genial!
la tienda de ropa;sklep odzieżowy;Lección 2: ¡Te queda genial!
la relojería;zakład zegarmistrzowski, sklep z zegarkami;Lección 2: ¡Te queda genial!
la zapatería;sklep obuwniczy;Lección 2: ¡Te queda genial!
llevar;nosić, mieć na sobie;Lección 2: ¡Te queda genial!
pagar;płacić;Lección 2: ¡Te queda genial!
preferir;woleć coś;Lección 2: ¡Te queda genial!
quedar;pasować (o ubraniu, dodatkach);Lección 2: ¡Te queda genial!
vestir;ubierać coś, nosić ubranie;Lección 2: ¡Te queda genial!
la albóndiga;klopsik;Lección 3: Una de tortilla, por favor
el atún a la plancha;grillowany tuńczyk;Lección 3: Una de tortilla, por favor
los canelones;cannelloni;Lección 3: Una de tortilla, por favor
los boquerones en vinagre;sardele w occie;Lección 3: Una de tortilla, por favor
las cocas dulces;słodkie ciasto;Lección 3: Una de tortilla, por favor
el cocido;tradycyjna hiszpańska zupa;Lección 3: Una de tortilla, por favor
el chorizo asado;pieczone chorizo;Lección 3: Una de tortilla, por favor
el churro;churros;Lección 3: Una de tortilla, por favor
el filete de pollo;filet z kurczaka;Lección 3: Una de tortilla, por favor
el filete empanado;panierowany filet;Lección 3: Una de tortilla, por favor
el flan;deser;Lección 3: Una de tortilla, por favor
las gambas al ajillo;krewetki w czosnku;Lección 3: Una de tortilla, por favor
el gazpacho;hiszpańska zupa na zimno na bazie pomidorów;Lección 3: Una de tortilla, por favor
el huevo cocido;gotowane jajko;Lección 3: Una de tortilla, por favor
el lomo de cerdo;schab;Lección 3: Una de tortilla, por favor
la paella;tradycyjna potrawa hiszpańska na bazie ryżu;Lección 3: Una de tortilla, por favor
las patatas fritas;frytki;Lección 3: Una de tortilla, por favor
las patatas bravas;cząstki ziemniaków z pikantnym sosem;Lección 3: Una de tortilla, por favor
la pechuga de pollo;pierś z kurczaka;Lección 3: Una de tortilla, por favor
el pisto manchego;tradycyjna hiszpańska potrawa ze smażonych warzyw;Lección 3: Una de tortilla, por favor
el pollo asado;kurczak z rożna;Lección 3: Una de tortilla, por favor
la tortilla;rodzaj grubego omletu z ziemniakami i cebulą;Lección 3: Una de tortilla, por favor
el ajo;czosnek;Lección 3: Una de tortilla, por favor
la alubia;fasola;Lección 3: Una de tortilla, por favor
el bacalao;dorsz;Lección 3: Una de tortilla, por favor
el bocadillo;kanapka;Lección 3: Una de tortilla, por favor
el buñuelo;pączek;Lección 3: Una de tortilla, por favor
el calabacín;kabaczek;Lección 3: Una de tortilla, por favor
el calamar;kalmar;Lección 3: Una de tortilla, por favor
la carne;mięso;Lección 3: Una de tortilla, por favor
la chuleta;kotlet;Lección 3: Una de tortilla, por favor
el cordero;jagnię, jagnięcina;Lección 3: Una de tortilla, por favor
el cruasán;croissant, rogalik;Lección 3: Una de tortilla, por favor
la espinaca;szpinak;Lección 3: Una de tortilla, por favor
la fruta de temporada;owoc sezonowy;Lección 3: Una de tortilla, por favor
la gamba;krewetka;Lección 3: Una de tortilla, por favor
el marisco;owoce morza, skorupiak;Lección 3: Una de tortilla, por favor
la mayonesa;majonez;Lección 3: Una de tortilla, por favor
el mazapán;marcepan;Lección 3: Una de tortilla, por favor
el mejillón;małż;Lección 3: Una de tortilla, por favor
el origen;pochodzenie;Lección 3: Una de tortilla, por favor
la pasa;rodzynka;Lección 3: Una de tortilla, por favor
el pescado;ryba;Lección 3: Una de tortilla, por favor
el piñón;orzeszek piniowy;Lección 3: Una de tortilla, por favor
el pulpo;ośmiornica;Lección 3: Una de tortilla, por favor
la tapa;przystawka, przekąska;Lección 3: Una de tortilla, por favor
el turrón;nugat z migdałów;Lección 3: Una de tortilla, por favor
la cuchara;łyżka;Lección 3: Una de tortilla, por favor
la cucharilla;łyżeczka;Lección 3: Una de tortilla, por favor
el cuchillo;nóż;Lección 3: Una de tortilla, por favor
el plato;talerz;Lección 3: Una de tortilla, por favor
el salero;solniczka;Lección 3: Una de tortilla, por favor
la taza;filiżanka;Lección 3: Una de tortilla, por favor
el tenedor;widelec;Lección 3: Una de tortilla, por favor
el vaso;szklanka;Lección 3: Una de tortilla, por favor
la cuenta;rachunek;Lección 3: Una de tortilla, por favor
el invento;wynalazek;Lección 3: Una de tortilla, por favor
batir huevos;ubić jajka;Lección 3: Una de tortilla, por favor
cocer;gotować;Lección 3: Una de tortilla, por favor
coger;chwytać;Lección 3: Una de tortilla, por favor
calentar;grzać, podgrzewać;Lección 3: Una de tortilla, por favor
comer;jeść;Lección 3: Una de tortilla, por favor
cortar;kroić;Lección 3: Una de tortilla, por favor
dar;dać;Lección 3: Una de tortilla, por favor
dejar;zostawić, pozostawić;Lección 3: Una de tortilla, por favor
echar;wrzucić, wlać, dodać;Lección 3: Una de tortilla, por favor
freír;smażyć;Lección 3: Una de tortilla, por favor
fregar;myć, zmywać;Lección 3: Una de tortilla, por favor
incluir;zawierać;Lección 3: Una de tortilla, por favor
mezclar;zmieszać, połączyć;Lección 3: Una de tortilla, por favor
pelar;obierać;Lección 3: Una de tortilla, por favor
poner;postawić, położyć;Lección 3: Una de tortilla, por favor
picar;posiekać;Lección 3: Una de tortilla, por favor
servir;podawać, serwować;Lección 3: Una de tortilla, por favor
árabe;arabski/a;Lección 3: Una de tortilla, por favor
judío;żydowski/a;Lección 3: Una de tortilla, por favor
caliente;ciepły, gorący;Lección 3: Una de tortilla, por favor
hecho/a;zrobiony/a, gotowy/a;Lección 3: Una de tortilla, por favor
hervido/a;ugotowany/a;Lección 3: Una de tortilla, por favor
pasado/a;stary/a, nieświeży/a, twardy/a (o mięsie);Lección 3: Una de tortilla, por favor
quemado/a;spalony/a;Lección 3: Una de tortilla, por favor
tierno/a;świeży/a, miękki/a;Lección 3: Una de tortilla, por favor
bañarse;kąpać się;Lección 4: Llamando al mundo
barrer;zamiatać;Lección 4: Llamando al mundo
bucear;nurkować;Lección 4: Llamando al mundo
cocinar;gotować;Lección 4: Llamando al mundo
construir;budować;Lección 4: Llamando al mundo
coser;szyć;Lección 4: Llamando al mundo
descansar;odpoczywać;Lección 4: Llamando al mundo
dormir;spać;Lección 4: Llamando al mundo
ducharse;brać prysznic;Lección 4: Llamando al mundo
escribir;pisać;Lección 4: Llamando al mundo
escuchar;słuchać;Lección 4: Llamando al mundo
fregar el suelo;myć podłogę;Lección 4: Llamando al mundo
fregar los platos;myć naczynia;Lección 4: Llamando al mundo
hacer la cama;ścielić łóżko;Lección 4: Llamando al mundo
jugar;grać;Lección 4: Llamando al mundo
lavar la ropa;prać ubrania;Lección 4: Llamando al mundo
leer;czytać;Lección 4: Llamando al mundo
limpiar;sprzątać, czyścić;Lección 4: Llamando al mundo
limpiar las ventanas;myć okna;Lección 4: Llamando al mundo
maquillarse;malować się, robić sobie makijaż;Lección 4: Llamando al mundo
pasar la aspiradora;odkurzać;Lección 4: Llamando al mundo
peinarse;czesać się;Lección 4: Llamando al mundo
planchar;prasować;Lección 4: Llamando al mundo
regar las plantas;podlewać kwiaty;Lección 4: Llamando al mundo
reírse;śmiać się;Lección 4: Llamando al mundo
sacar la basura;wyrzucać śmieci;Lección 4: Llamando al mundo
ver;widzieć, oglądać;Lección 4: Llamando al mundo
vestirse;ubierać się;Lección 4: Llamando al mundo
comer un bocadillo;jeść kanapkę;Lección 4: Llamando al mundo
despedirse (de alguien);żegnać (kogoś);Lección 4: Llamando al mundo
esperar el autobús;czekać na autobus;Lección 4: Llamando al mundo
lavarse los dientes;myć zęby;Lección 4: Llamando al mundo
montar en las atracciones;korzystać z atrakcji w parku rozrywki;Lección 4: Llamando al mundo
montar en la montaña rusa;jechać kolejką górską;Lección 4: Llamando al mundo
mirar escaparates;oglądać wystawy sklepowe;Lección 4: Llamando al mundo
pintarse las uñas;malować paznokcie;Lección 4: Llamando al mundo
ponerse una chaqueta;wkładać kurtkę;Lección 4: Llamando al mundo
tomar el café;pić kawę;Lección 4: Llamando al mundo
tomar el sol;opalać się;Lección 4: Llamando al mundo
secarse el pelo;suszyć włosy;Lección 4: Llamando al mundo
la comunidad;wspólnota, gmina, społeczność;Lección 4: Llamando al mundo
el desierto;pustynia;Lección 4: Llamando al mundo
el edificio;budynek;Lección 4: Llamando al mundo
el lugar;miejsce;Lección 4: Llamando al mundo
la orilla del mar;brzeg morza;Lección 4: Llamando al mundo
el voivodato;województwo;Lección 4: Llamando al mundo
ancho/a;szeroki/a;Lección 4: Llamando al mundo
antiguo/a;stary/a, staroświecki/a;Lección 4: Llamando al mundo
asustado/a;przestraszony/a;Lección 4: Llamando al mundo
conocido/a;znany/a;Lección 4: Llamando al mundo
despierto/a;obudzony/a;Lección 4: Llamando al mundo
dormido/a;zaspany/a, śpiący/a;Lección 4: Llamando al mundo
enfadado/a;zły/a, pogniewany/a, obrażony/a;Lección 4: Llamando al mundo
extenso/a;szeroki/a, obszerny/a;Lección 4: Llamando al mundo
lujoso/a;luksusowy/a;Lección 4: Llamando al mundo
poblado/a;zaludniony/a;Lección 4: Llamando al mundo
preocupado/a;zmartwiony/a;Lección 4: Llamando al mundo
relajado/a;zrelaksowany/a;Lección 4: Llamando al mundo
sorprendido/a;zaskoczony/a, zdziwiony/a;Lección 4: Llamando al mundo
el avión;samolot;Lección 5: Por tierra, mar y aire
el barco;statek;Lección 5: Por tierra, mar y aire
la bicicleta;rower;Lección 5: Por tierra, mar y aire
el camión;ciężarówka;Lección 5: Por tierra, mar y aire
el ciclomotor;skuter;Lección 5: Por tierra, mar y aire
el coche;samochód;Lección 5: Por tierra, mar y aire
el ferry;prom;Lección 5: Por tierra, mar y aire
el helicóptero;helikopter;Lección 5: Por tierra, mar y aire
la lancha;motorówka, łódź;Lección 5: Por tierra, mar y aire
los medios de transporte;środki transportu;Lección 5: Por tierra, mar y aire
aéreos;powietrzne;Lección 5: Por tierra, mar y aire
terrestres;lądowe;Lección 5: Por tierra, mar y aire
marítimos;morskie;Lección 5: Por tierra, mar y aire
el metro;metro;Lección 5: Por tierra, mar y aire
la moto;motocykl;Lección 5: Por tierra, mar y aire
el transbordador;prom;Lección 5: Por tierra, mar y aire
el tranvía;tramwaj;Lección 5: Por tierra, mar y aire
el taxi;taksówka;Lección 5: Por tierra, mar y aire
el tren;pociąg;Lección 5: Por tierra, mar y aire
la carretera rural;wiejska droga;Lección 5: Por tierra, mar y aire
la compra;zakupy;Lección 5: Por tierra, mar y aire
el vecino;sąsiad;Lección 5: Por tierra, mar y aire
cómodo/a;wygodny/a;Lección 5: Por tierra, mar y aire
ecológico/a;ekologiczny/a;Lección 5: Por tierra, mar y aire
incómodo/a;niewygodny/a;Lección 5: Por tierra, mar y aire
invitado/a;zaproszony/a, gość;Lección 5: Por tierra, mar y aire
seguro/a;bezpieczny/a;Lección 5: Por tierra, mar y aire
a caballo;konno;Lección 5: Por tierra, mar y aire
a pie;pieszo;Lección 5: Por tierra, mar y aire
alquilar;wynajmować;Lección 5: Por tierra, mar y aire
arrancar;zapalić, uruchomić;Lección 5: Por tierra, mar y aire
arreglarse;wyszykować się, przygotować się;Lección 5: Por tierra, mar y aire
avisar;powiadomić;Lección 5: Por tierra, mar y aire
conducir;prowadzić;Lección 5: Por tierra, mar y aire
caminar;chodzić, wędrować;Lección 6: El futuro será tuyo
cambiar;zmieniać;Lección 6: El futuro será tuyo
colonizar;kolonizować;Lección 6: El futuro será tuyo
contemplar;kontemplować, rozpatrywać;Lección 6: El futuro será tuyo
crear;tworzyć;Lección 6: El futuro será tuyo
disfrutar;korzystać;Lección 6: El futuro será tuyo
funcionar;działać, funkcjonować;Lección 6: El futuro será tuyo
gobernar;rządzić;Lección 6: El futuro será tuyo
limitar;ograniczać;Lección 6: El futuro será tuyo
perder;zgubić, stracić, przegrać;Lección 6: El futuro será tuyo
soñar con;śnić o, marzyć o;Lección 6: El futuro será tuyo
subir;wchodzić, wspinać się, wsiadać;Lección 6: El futuro será tuyo
visitar;odwiedzać;Lección 6: El futuro será tuyo
el ave/el pájaro;ptak;Lección 6: El futuro será tuyo
el bosque;las;Lección 6: El futuro será tuyo
el camino;droga;Lección 6: El futuro será tuyo
el entorno natural;środowisko naturalne;Lección 6: El futuro será tuyo
el glaciar;lodowiec;Lección 6: El futuro será tuyo
el lago;jezioro;Lección 6: El futuro será tuyo
el mar;morze;Lección 6: El futuro será tuyo
la maravilla;cud;Lección 6: El futuro será tuyo
la montaña;góra;Lección 6: El futuro será tuyo
el muro;mur;Lección 6: El futuro será tuyo
el paisaje;pejzaż;Lección 6: El futuro será tuyo
el palacio;pałac;Lección 6: El futuro será tuyo
la planta;roślina;Lección 6: El futuro será tuyo
la playa;plaża;Lección 6: El futuro será tuyo
el río;rzeka;Lección 6: El futuro será tuyo
la riqueza natural;bogactwo naturalne;Lección 6: El futuro será tuyo
la selva tropical;puszcza tropikalna;Lección 6: El futuro será tuyo
el templo;świątynia;Lección 6: El futuro será tuyo
espectacular;widowiskowy/a;Lección 6: El futuro será tuyo
fantástico/a;fantastyczny/a;Lección 6: El futuro será tuyo
increíble;niewiarygodny/a;Lección 6: El futuro será tuyo
maravilloso/a;cudowny/a;Lección 6: El futuro será tuyo
peor;gorszy/a;Lección 6: El futuro será tuyo
abrir;otwierać;Lección 7: ¿Cómo te ha ido el día?
acostarse;kłaść się spać;Lección 7: ¿Cómo te ha ido el día?
arreglarse;wyszykować się, wystroić;Lección 7: ¿Cómo te ha ido el día?
despertarse;budzić się;Lección 7: ¿Cómo te ha ido el día?
cubrir;nakrywać, okrywać;Lección 7: ¿Cómo te ha ido el día?
cuidar;troszczyć się;Lección 7: ¿Cómo te ha ido el día?
empezar;zaczynać;Lección 7: ¿Cómo te ha ido el día?
llegar tarde;spóźniać się;Lección 7: ¿Cómo te ha ido el día?
merendar;jeść podwieczorek;Lección 7: ¿Cómo te ha ido el día?
morir;umierać;Lección 7: ¿Cómo te ha ido el día?
oír;słyszeć;Lección 7: ¿Cómo te ha ido el día?
olvidarse;zapominać;Lección 7: ¿Cómo te ha ido el día?
regañar;upominać, besztać;Lección 7: ¿Cómo te ha ido el día?
reír(se);śmiać się;Lección 7: ¿Cómo te ha ido el día?
robar;kraść;Lección 7: ¿Cómo te ha ido el día?
romper;rozbijać, łamać, zepsuć;Lección 7: ¿Cómo te ha ido el día?
seguir;śledzić;Lección 7: ¿Cómo te ha ido el día?
terminar;kończyć;Lección 7: ¿Cómo te ha ido el día?
quedar;zostawać, pozostawać;Lección 7: ¿Cómo te ha ido el día?
vigilar;pilnować;Lección 7: ¿Cómo te ha ido el día?
aún;jeszcze;Lección 7: ¿Cómo te ha ido el día?
hoy;dzisiaj;Lección 7: ¿Cómo te ha ido el día?
un rato;chwila, trochę;Lección 7: ¿Cómo te ha ido el día?
últimamente;ostatnio, niedawno;Lección 7: ¿Cómo te ha ido el día?
ya;już;Lección 7: ¿Cómo te ha ido el día?
apasionarse;pasjonować się;Lección 8: Experiencias alucinantes
arriesgar;ryzykować;Lección 8: Experiencias alucinantes
conseguir;osiągnąć, uzyskać;Lección 8: Experiencias alucinantes
detener;zatrzymywać, aresztować;Lección 8: Experiencias alucinantes
enfadar;złościć, obrażać;Lección 8: Experiencias alucinantes
lograr;osiągać, uzyskiwać;Lección 8: Experiencias alucinantes
marcar;zaznaczyć, znakować;Lección 8: Experiencias alucinantes
mostrar;pokazywać;Lección 8: Experiencias alucinantes
moverse;ruszać się;Lección 8: Experiencias alucinantes
bucear;nurkować;Lección 8: Experiencias alucinantes
hacer ala delta;latać na lotni;Lección 8: Experiencias alucinantes
hacer puenting;skakać na bungee;Lección 8: Experiencias alucinantes
hacer rafting;uprawiać rafting;Lección 8: Experiencias alucinantes
hacer senderismo;uprawiać trekking, piesze wędrówki;Lección 8: Experiencias alucinantes
hacer surf;surfować;Lección 8: Experiencias alucinantes
hacer vela;żeglować;Lección 8: Experiencias alucinantes
intentar;próbować, zamierzać;Lección 8: Experiencias alucinantes
montar en barca;płynąć łódką;Lección 8: Experiencias alucinantes
montar en canoa;pływać kajakiem;Lección 8: Experiencias alucinantes
patinar;jeździć na rolkach, łyżwach, ślizgać się;Lección 8: Experiencias alucinantes
saltar en paracaídas;skakać ze spadochronu;Lección 8: Experiencias alucinantes
aprobar;zdać, zaliczyć, zatwierdzać;Lección 9: Ser o estar
dejar;zostawiać;Lección 9: Ser o estar
discutir;kłócić się, dyskutować;Lección 9: Ser o estar
preocupar;martwić, niepokoić;Lección 9: Ser o estar
recibir;otrzymywać;Lección 9: Ser o estar
agradable;przyjemny/a, miły/a;Lección 9: Ser o estar
alegre;wesoły/a, radosny/a;Lección 9: Ser o estar
arrogante;arogancki/a;Lección 9: Ser o estar
atento/a;uważny/a, uprzejmy/a;Lección 9: Ser o estar
avergonzado/a;zawstydzony/a;Lección 9: Ser o estar
bronceado/a;opalony/a;Lección 9: Ser o estar
cansado/a;zmęczony/a;Lección 9: Ser o estar
casado/a;żonaty/zamężna;Lección 9: Ser o estar
celoso/a;zazdrosny/a;Lección 9: Ser o estar
deprimido/a;ponury/a, markotny/a;Lección 9: Ser o estar
desagradable;nieprzyjemny/a, niemiły/a;Lección 9: Ser o estar
abrigarse;ubrać się ciepło;Lección 10: Y de repente se apagó la luz
acercarse;zbliżać się, podchodzić;Lección 10: Y de repente se apagó la luz
alzar;podnosić;Lección 10: Y de repente se apagó la luz
anteayer;przedwczoraj;Lección 10: Y de repente se apagó la luz
arruinar;rujnować;Lección 10: Y de repente se apagó la luz
asustarse;przestraszyć się;Lección 10: Y de repente se apagó la luz
agarrar;łapać;Lección 10: Y de repente se apagó la luz
atrapar;łapać;Lección 10: Y de repente se apagó la luz
ayudar;pomagać;Lección 10: Y de repente se apagó la luz
buscar;szukać;Lección 10: Y de repente se apagó la luz
celebrar;świętować;Lección 10: Y de repente se apagó la luz
charlar;gawędzić;Lección 10: Y de repente se apagó la luz
comprar;kupować;Lección 10: Y de repente se apagó la luz
correr;biegać;Lección 10: Y de repente se apagó la luz
cruzar;przechodzić, krzyżować się;Lección 10: Y de repente se apagó la luz
dedicar;poświęcać;Lección 10: Y de repente se apagó la luz
desaparecer;znikać;Lección 10: Y de repente se apagó la luz
desconectar;rozłączać, wyłączyć się;Lección 10: Y de repente se apagó la luz
despertarse;budzić się;Lección 10: Y de repente se apagó la luz
desplazarse;przemieszczać się;Lección 10: Y de repente se apagó la luz
enfermar;zachorować;Lección 10: Y de repente se apagó la luz
escaparse;wymykać się, uciec;Lección 10: Y de repente se apagó la luz
enseñar;uczyć, pokazywać;Lección 10: Y de repente se apagó la luz
entrar;wchodzić;Lección 10: Y de repente se apagó la luz
entregar;dostarczyć;Lección 10: Y de repente se apagó la luz
esperar;czekać;Lección 10: Y de repente se apagó la luz
estropear;uszkadzać, niszczyć, zepsuć;Lección 10: Y de repente se apagó la luz
equivocarse;mylić się;Lección 10: Y de repente se apagó la luz
explicar;wyjaśniać, tłumaczyć;Lección 10: Y de repente se apagó la luz
felicitar;gratulować;Lección 10: Y de repente se apagó la luz
gritar;krzyczeć;Lección 10: Y de repente se apagó la luz
huir;uciekać;Lección 10: Y de repente se apagó la luz
indicar;pokazywać, wskazywać;Lección 10: Y de repente se apagó la luz
levantarse;wstawać;Lección 10: Y de repente se apagó la luz
llamar;wołać, dzwonić;Lección 10: Y de repente se apagó la luz
mirar;patrzeć;Lección 10: Y de repente se apagó la luz
mudarse;przeprowadzać się;Lección 10: Y de repente se apagó la luz
ocurrir;wydawać się, wydarzyć się;Lección 10: Y de repente se apagó la luz
buscar información;szukać informacji;Lección 11: Descubriendo el mundo
decir;powiedzieć;Lección 11: Descubriendo el mundo
diseñar;projektować;Lección 11: Descubriendo el mundo
encontrar;znajdować;Lección 11: Descubriendo el mundo
ganar;wygrywać, zarabiać;Lección 11: Descubriendo el mundo
